2023-08-16 06:44:58.622900 Количество файлов: 5, размер: 1M, статистика загрузки: 1.80 1.52 0.84 3/571 15338

2023-08-16 06:44:58.890951 Количество файлов: 5, размер: 1M, статистика загрузки: 1.80 1.52 0.84 2/571 15365

2023-08-16 06:44:59.223076 Количество файлов: 5, размер: 1M, статистика загрузки: 1.80 1.52 0.84 5/571 15400

2023-08-16 06:44:59.266761 Количество файлов: 5, размер: 1M, статистика загрузки: 1.80 1.52 0.84 3/571 15407

2023-08-16 06:44:59.326691 Количество файлов: 5, размер: 1M, статистика загрузки: 1.80 1.52 0.84 8/571 15414

2023-08-16 06:44:59.687248 Количество файлов: 5, размер: 1M, статистика загрузки: 1.80 1.52 0.84 8/571 15447

2023-08-16 06:45:00.072127 Количество файлов: 5, размер: 1M, статистика загрузки: 1.80 1.52 0.84 6/571 15490

2023-08-16 06:45:00.104048 Количество файлов: 5, размер: 1M, статистика загрузки: 1.80 1.52 0.84 7/571 15497

2023-08-16 06:45:06.011857 Количество файлов: 5, размер: 1M, статистика загрузки: 1.83 1.53 0.85 2/572 15549

2023-08-16 06:45:07.013348 Количество файлов: 5, размер: 1M, статистика загрузки: 1.83 1.53 0.85 2/572 15578

2023-08-16 06:45:07.896061 Количество файлов: 5, размер: 1M, статистика загрузки: 1.83 1.53 0.85 2/572 15607

